ID,LOCATION,ZONE_PEAL,Location,Latitude,Longitude,Date_death,Date_of_identification_or_collection,Date_notification,Stage_decomposition,FINAL_YFV_Result,IHQ_YFV_Result,PCR_YFV_Result,Collection,Transport_institute,Species,STATUS
1,Norte,Vila Amália,Campo do Guarani,"-23,464,568","-466,488,902",?06/10/2017,09/10/2017,09/10/2017,Médio (3 a 5 dias),POSITIVO,Não tem,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,Sequenced
2,,Vila Amália,Campo do Guarani,,,? 11/10/2017,21/10/2017,There_was_no_collection,Avançado (+5 a 10 dias),NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
3,,Vila Amália,Campo do Guarani,,,? 11/10/2017,21/10/2017,There_was_no_collection,Avançado (+5 a 10 dias),NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
4,Norte,Sede-IF,Av. Santa Inês,"-234,648,443","-466,340,698",29/10/2017,29/10/2017,29/10/2017,Íntegro (vivo _ 0 a 2 dias),NEGATIVO,Negativo,Negativo,Sim,PAMB,Alouatta guariba clamitans,
5,Norte,Sede-IF,Casa do Zé Menino,"-234,598,158","-466,361,394",03/11/2017,03/11/2017 ou 04/11/2017,04/11/2017,Íntegro (vivo_0 a 2 dias),NEGATIVO,Negativo,Negativo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,
6,Norte,Vila Amália,Proximo a lombada eletrônica (Av. Parada Pinto),"-234,598,158","-466,361,394",?30/11/2017,03/12/2017,03/12/2017,Médio (3 a 5 dias),NEGATIVO,Negativo,Negativo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,
7,Norte,Uso Público,São João Gualberto,"-234,598,158","-466,361,394",12/12/2017,12/12/2017,12/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,Sequenced
8,,Uso Público,Bica do Fundo,,,?10/12/2017,15/12/2017,There_was_no_collection,Avançado (+5 a 10 dias),NÃO DETERMINADO,Não tem,Não tem,Não,Não,Alouatta guariba clamitans,
9,Norte,Uso Público,Portão Principal (P04),"-234,598,158","-466,361,394",16/12/2017,16/12/2017,16/12/2017 ou 17/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,Sequenced
10,Norte,Uso Público,Casa 04,"-234,598,158","-466,361,394",15/12/2017,15/12/2017 ou 17/12/2017,17/12/2017,Íntegro (vivo _0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,
