Month,Month_original,Year,min_temp,mean_temp,max_temp,min_hum,mean_hum,max_hum,cum_rain,Date,Haemagogus_mosquitoes,Positive_pools
1,01,2017,20.013363,22.72925725,26.66450469,66.88784193,85.19081802,96.64874243,0.325446114,2017-01,,
2,02,2017,19.50281872,23.35018468,28.15356509,54.09606735,79.88031615,96.97862876,0.098939018,2017-02,,
3,03,2017,18.46853691,21.22538836,25.20933727,65.61576945,85.44415001,97.25971808,0.152571521,2017-03,,
4,04,2017,16.76068364,19.55987343,23.50429646,63.6254477,84.29371378,96.63991907,0.089051927,2017-04,,
5,05,2017,15.30860513,18.12713209,22.25402592,64.29620673,86.06421715,98.2886099,0.111999561,2017-05,,
6,06,2017,13.18676438,16.8665149,21.81804806,57.87100902,81.68736227,96.56733573,0.038078568,2017-06,,
7,07,2017,10.97271786,15.35899775,20.933946,50.36745955,78.68218605,96.76128113,0.013501722,2017-07,,
8,08,2017,12.74805731,16.70143086,21.96049716,55.3130694,78.75269377,94.63809656,0.058501221,2017-08,,
9,09,2017,15.00676175,20.46106602,27.55412349,36.76863407,68.28863354,92.99469404,0.037794556,2017-09,,
10,10,2017,16.92403939,21.08218493,26.59896948,53.02346761,77.34679924,94.63686999,0.087423661,2017-10,,
11,11,2017,16.11232756,19.83969697,24.57511681,61.62335678,81.63451158,96.46755089,0.147114666,2017-11,,
12,12,2017,18.63917871,21.54122931,25.73494304,64.56257132,84.22179591,96.68733433,0.185592962,2017-12,10,1
13,01,2018,19.23889342,22.1075137,26.20846445,65.3537671,85.01359821,97.28545376,0.255609735,2018-01,148,8
14,02,2018,17.85628508,21.0265814,25.2798927,63.16717024,84.52459633,97.72253683,0.117873121,2018-02,,
15,03,2018,19.7584193,22.53902552,26.93196352,64.46694922,86.31363381,98.49820515,0.223891118,2018-03,107,0
16,04,2018,16.80872341,20.042387,24.51745275,58.02468218,84.06933686,98.62044227,0.052769282,2018-04,30,0
17,05,2018,14.51019857,18.21258753,23.12326574,52.13198667,79.8212521,96.98762884,0.02675094,2018-05,4,0
18,06,2018,13.80794077,17.44122369,22.29513294,58.89937739,81.83464823,95.84992256,0.062229004,2018-06,1,0
19,07,2018,12.98500956,17.3558387,23.26700331,45.85908669,74.87794316,93.94715193,0.025643335,2018-07,,
20,08,2018,12.48231507,16.06179984,20.96920936,59.45574535,82.48919195,96.49882006,0.091724823,2018-08,,
21,09,2018,14.83280171,18.44258518,23.94873721,57.64046472,82.85554564,97.23585369,0.097765115,2018-09,3,0
22,10,2018,16.24894563,19.31344221,23.49388456,69.5818783,86.96961305,97.59391584,0.168859393,2018-10,10,0
23,11,2018,16.84540412,20.06993338,24.4051311,66.14004327,84.7654736,97.26457876,0.151682667,2018-11,,
24,12,2018,18.38726985,22.48351116,27.47339956,53.09000813,77.94558184,95.32427331,0.0909903,2018-12,,
