taxa	region	state	host	date	year	PEAL
Mosq_119_Brazil_SP_SaoPaulo_2018-01-05	Southeast	SP	Mosq	05/01/2018	2018	GroupI_III
Mosq_120_Brazil_SP_SaoPaulo_2018-01-05	Southeast	SP	Mosq	05/01/2018	2018	GroupI_III
Mosq_177_Brazil_SP_SaoPaulo_2018-01-11	Southeast	SP	Mosq	11/01/2018	2018	GroupI_III
Mosq_182_Brazil_SP_SaoPaulo_2018-01-11	Southeast	SP	Mosq	11/01/2018	2018	GroupI_III
Mosq_192_Brazil_SP_SaoPaulo_2018-01-11	Southeast	SP	Mosq	11/01/2018	2018	GroupI_III
Mosq_24_Brazil_SP_SaoPaulo_2017-12-26	Southeast	SP	Mosq	26/12/2017	2017	GroupI_III
Mosq_66_Brazil_SP_SaoPaulo_2018-01-03	Southeast	SP	Mosq	03/01/2018	2018	GroupI_III
Mosq_81_Brazil_SP_SaoPaulo_2018-01-04	Southeast	SP	Mosq	04/01/2018	2018	GroupI_III
Mosq_95_Brazil_SP_SaoPaulo_2018-01-04	Southeast	SP	Mosq	04/01/2018	2018	GroupI_III
NHP_2067_Brazil_SP_SaoPaulo_2017-10-09	Southeast	SP	NHP	09/10/2017	2017	GroupI_III
NHP_2457_Brazil_SP_SaoPaulo_2017-12-03	Southeast	SP	NHP	03/12/2017	2017	GroupI_III
NHP_2505_Brazil_SP_Mairipora_2017-11-16	Southeast	SP	NHP	16/11/2017	2017	GroupI_III
NHP_2508_Brazil_SP_SaoPaulo_2017-12-05	Southeast	SP	NHP	05/12/2017	2017	GroupI_III
NHP_2510_Brazil_SP_SaoPaulo_2017-12-05	Southeast	SP	NHP	05/12/2017	2017	GroupI_III
NHP_2513_Brazil_SP_SaoPaulo_2017-12-05	Southeast	SP	NHP	05/12/2017	2017	GroupI_III
NHP_2668_Brazil_SP_SaoPaulo_2017-12-16	Southeast	SP	NHP	16/12/2017	2017	GroupI_III
NHP_2669_Brazil_SP_SaoPaulo_2017-12-16	Southeast	SP	NHP	16/12/2017	2017	GroupI_III
NHP_2670_Brazil_SP_SaoPaulo_2017-12-16	Southeast	SP	NHP	16/12/2017	2017	GroupI_III
NHP_2671_Brazil_SP_SaoPaulo_2017-12-17	Southeast	SP	NHP	17/12/2017	2017	GroupI_III
NHP_2672_Brazil_SP_SaoPaulo_2017-12-17	Southeast	SP	NHP	17/12/2017	2017	GroupI_III
NHP_2673_Brazil_SP_SaoPaulo_2017-12-17	Southeast	SP	NHP	17/12/2017	2017	GroupI_III
NHP_2674_Brazil_SP_SaoPaulo_2017-12-17	Southeast	SP	NHP	17/12/2017	2017	GroupI_III
NHP_2675_Brazil_SP_SaoPaulo_2017-12-18	Southeast	SP	NHP	18/12/2017	2017	GroupI_III
NHP_2676_Brazil_SP_SaoPaulo_2017-12-15	Southeast	SP	NHP	15/12/2017	2017	GroupI_III
