State,Municipality,Collection date,Code,Species,Species_complete,Number,CT_mean,Study,Publication,study_DOI,RT-PCR_protocol,RT-PCR_protocol_DOI
MG,Belmiro Braga,29/01/2018,MG 3155,janthinomys,Hg. janthinomys,5,16.1,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,26/01/2018,VL 3016,janthinomys,Hg. janthinomys,5,16.5,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,24/01/2018,VL 2967,janthinomys,Hg. janthinomys,5,16.9,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Nova Iguaçú,09/01/2018,NI 3104,janthinomys,Hg. janthinomys,5,17.2,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,19/01/2018,VL 2926,janthinomys,Hg. janthinomys,1,17.5,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,24/01/2018,VL 3006,janthinomys,Hg. janthinomys,4,18.2,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,26/01/2018,PFA131,janthinomys,Hg. janthinomys,10,18.5,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 976,janthinomys,Hg. janthinomys,6,19,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,26/01/2018,VL 3012,janthinomys,Hg. janthinomys,5,19.2,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,26/01/2018,VL 3877,janthinomys,Hg. janthinomys,5,19.8,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,18/01/2018,VL 2909,janthinomys,Hg. janthinomys,5,21.7,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Macaé,26/04/2017,MC 941,janthinomys,Hg. janthinomys,2,22.6,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,24/01/2018,VL 2953,janthinomys,Hg. janthinomys,4,24,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,24/01/2018,VL 3005,janthinomys,Hg. janthinomys,5,24.6,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,24/01/2018,VL 2964,janthinomys,Hg. janthinomys,5,25,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,24/01/2018,VL 3003,janthinomys,Hg. janthinomys,4,28.3,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,08/05/2017,MR 960,janthinomys,Hg. janthinomys,1,30,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Teresópolis,19/12/2017,TR 2807,janthinomys,Hg. janthinomys,5,31,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 1139,leucocelaenus,Hg. leucocelaenus,10,10,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,08/05/2017,MR 1044,leucocelaenus,Hg. leucocelaenus,5,10.5,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 1152,leucocelaenus,Hg. leucocelaenus,11,10.7,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 1112,leucocelaenus,Hg. leucocelaenus,4,11.2,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 1145,leucocelaenus,Hg. leucocelaenus,10,11.2,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 1140,leucocelaenus,Hg. leucocelaenus,10,11.6,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 1158,leucocelaenus,Hg. leucocelaenus,5,11.8,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,07/05/2017,MR 1358,leucocelaenus,Hg. leucocelaenus,2,12,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,06/05/2017,MR 1351,leucocelaenus,Hg. leucocelaenus,4,12.5,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 1160,leucocelaenus,Hg. leucocelaenus,5,12.8,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,04/05/2017,MR 1438,leucocelaenus,Hg. leucocelaenus,3,15.6,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 978,leucocelaenus,Hg. leucocelaenus,5,16.1,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
MG,Belmiro Braga,18/01/2018,MG 3121,leucocelaenus,Hg. leucocelaenus,3,16.4,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,08/05/2017,MR 965,leucocelaenus,Hg. leucocelaenus,5,17,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 977,leucocelaenus,Hg. leucocelaenus,5,17.2,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,PFA 121,leucocelaenus,Hg. leucocelaenus,9,17.4,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 974,leucocelaenus,Hg. leucocelaenus,2,18.1,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,08/05/2017,MR 967,leucocelaenus,Hg. leucocelaenus,5,18.2,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,PFA122,leucocelaenus,Hg. leucocelaenus,6,18.3,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,PFA123,leucocelaenus,Hg. leucocelaenus,10,18.4,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,08/05/2017,MR 1094,leucocelaenus,Hg. leucocelaenus,9,18.6,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 970,leucocelaenus,Hg. leucocelaenus,5,18.7,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 971,leucocelaenus,Hg. leucocelaenus,5,18.7,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,24/01/2018,VL 2969,leucocelaenus,Hg. leucocelaenus,3,18.7,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,26/01/2018,VL 3902,leucocelaenus,Hg. leucocelaenus,4,18.8,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 980,leucocelaenus,Hg. leucocelaenus,6,18.9,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,08/05/2017,MR 968,leucocelaenus,Hg. leucocelaenus,5,19,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 981,leucocelaenus,Hg. leucocelaenus,5,19,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,08/05/2017,MR 963,leucocelaenus,Hg. leucocelaenus,5,19.4,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,04/05/2017,MR 951,leucocelaenus,Hg. leucocelaenus,5,19.7,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 972,leucocelaenus,Hg. leucocelaenus,5,19.7,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Valença,26/01/2018,VL 3882,leucocelaenus,Hg. leucocelaenus,5,19.9,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,08/05/2017,MR 964,leucocelaenus,Hg. leucocelaenus,5,20.3,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,04/05/2017,MR 949,leucocelaenus,Hg. leucocelaenus,5,21.1,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,06/05/2017,MR 984,leucocelaenus,Hg. leucocelaenus,2,21.2,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,08/05/2017,MR 961,leucocelaenus,Hg. leucocelaenus,6,22.4,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,08/05/2017,MR 1035,leucocelaenus,Hg. leucocelaenus,4,22.4,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,07/05/2017,MR 1391,leucocelaenus,Hg. leucocelaenus,2,24.6,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Teresópolis,19/12/2017,TR 2848,leucocelaenus,Hg. leucocelaenus,2,32.1,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,05/05/2017,MR 973,leucocelaenus,Hg. leucocelaenus,5,36.2,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,06/05/2017,MR 1353,Other,Ae. scapularis,8,23,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Maricá,06/05/2017,MR 1356,Other,Ae. taeniorhynchus,11,21.9,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
RJ,Angra dos Reis,07/02/2018,IG 3036,Other,Sabethes chloropterus,1,31,1,Abreu et al. 2019,10.1080/22221751.2019.1568180,Bonaldo et al. 2017,10.1590/0074-02760170134
SP,Igarata,28-May-18,,Other,Sabethes identicus,6,38,2,Caleiro et al. 2025,10.3390/tropicalmed10050118,Bonaldo et al. 2017,10.1590/0074-02760170134
SP,Sao Miguel Arcanjo,04-Sep-18,,Other,Sabethes purpureus,2,37,2,Caleiro et al. 2025,10.3390/tropicalmed10050118,Bonaldo et al. 2017,10.1590/0074-02760170134
SP,Monteiro Lobato,16-Jan-19,,Other,Sabethes purpureus,1,38,2,Caleiro et al. 2025,10.3390/tropicalmed10050118,Bonaldo et al. 2017,10.1590/0074-02760170134
MG,Ubai,26/09/2021,,Other,Sabethes albiprivus,5,28,3,de Oliveira et al. 2023,10.3390/v15030757,Domingo et al. 2012,10.1128/jcm.01799-12
MG,Icarai de Minas,30/09/2021,,Other,Sabethes chloropterus,5,19,3,de Oliveira et al. 2023,10.3390/v15030757,Domingo et al. 2012,10.1128/jcm.01799-12
MG,Icarai de Minas,30/09/2021,,Other,Sabethes chloropterus,5,21,3,de Oliveira et al. 2023,10.3390/v15030757,Domingo et al. 2012,10.1128/jcm.01799-12
SP,São Paulo,11/01/2018,Mosq_182_Brazil_SP_SaoPaulo_2018-01-11,leucocelaenus,Hg. leucocelaenus,4,19,4,This study,,Domingo et al. 2012,10.1128/jcm.01799-12
SP,São Paulo,03/01/2018,Mosq_66_Brazil_SP_SaoPaulo_2018-01-03,leucocelaenus,Hg. leucocelaenus,5,21,4,This study,,Domingo et al. 2012,10.1128/jcm.01799-12
SP,São Paulo,04/01/2018,Mosq_95_Brazil_SP_SaoPaulo_2018-01-04,leucocelaenus,Hg. leucocelaenus,5,23,4,This study,,Domingo et al. 2012,10.1128/jcm.01799-12
SP,São Paulo,05/01/2018,Mosq_119_Brazil_SP_SaoPaulo_2018-01-05,leucocelaenus,Hg. leucocelaenus,5,23,4,This study,,Domingo et al. 2012,10.1128/jcm.01799-12
