State,Species,Species_complete,Municipality,include,tested_pools,positive_pools,total_mosquitoes_captured,MIR,MLE,Collection_start_date,Collection_end_date,doi
RJ,Other,Sa. Chloropterus,Angra dos Reis_Ilha_Grande,no,1,1,,1000,,07/02/2018,,10.3201/eid1612.100608
ES,Other,Sa. chloropterus,Santa Teresa_a,no,2,0,4,0,,08/02/2017,02/03/2017,10.3390/v14122805
MA,Other,Sa. Chloropterus,Pastos Bons,no,3,1,73,13.699,,1994,,10.4269/ajtmh.1997.57.132
ES,Other,Sa. chloropterus,Pancas,no,3,1,12,83.333,,08/02/2017,02/03/2017,10.3390/v14122805
MS,Other,Sa. Chloropterus,Campo Grande,no,,4,,16.7,,1992,,10.4269/ajtmh.1997.57.132
MG,janthinomys,Hg. janthinomys,Juiz_de_Fora,no,1,1,,333,,27/01/2018,,10.3201/eid1612.100608
ES,janthinomys,Hg. janthinomys,Domingos_Martins,no,1,1,,1000,,23/02/2017,,10.3201/eid1612.100608
ES,janthinomys,Hg. janthinomys/capricornii,Venda Nova do Imigrante_a,no,1,0,1,0,,08/02/2017,02/03/2017,10.3390/v14122805
ES,janthinomys,Hg. janthinomys/capricornii,Santa Teresa_a,no,2,0,7,0,,08/02/2017,02/03/2017,10.3390/v14122805
ES,janthinomys,Hg. janthinomys/capricornii,Cariacica,no,2,1,10,100,,08/02/2017,02/03/2017,10.3390/v14122805
ES,janthinomys,Hg. janthinomys/capricornii,Pancas,no,2,1,2,500,,08/02/2017,02/03/2017,10.3390/v14122805
RJ,janthinomys,Hg. janthinomys,Marica,no,5,2,,143.8,15.35,07/05/2017,,10.3201/eid1612.100608
ES,janthinomys,Hg. janthinomys/capricornii,Santa Teresa_b,no,5,0,17,0,,08/02/2017,02/03/2017,10.3390/v14122805
RJ,janthinomys,Hg. janthinomys,Macae,no,6,1,,58.8,5.55,26/04/2017,,10.3201/eid1612.100608
RJ,janthinomys,Hg. janthinomys,Nova_Iguacu,no,8,1,,29.4,2.94,09/01/2018,,10.3201/eid1612.100608
RJ,janthinomys,Hg. janthinomys,Teresopolis,yes,19,1,,13.1,1.31,19/12/2017,,10.3201/eid1612.100608
MG,janthinomys,Hg. janthinomys,Belmiro_Braga,yes,24,1,,10.8,1.09,29/01/2018,,10.3201/eid1612.100608
