id,species,host,group,pool_size,Pool_origin,Height_technique,latitude,longitude,date_identification_collection,decomposition_simple,Result,CT,amplicon_cov_pct,smart9n_Nb_reads ,N50,smart9n_Nb_of_reads_mapped,RPM,smart9n_perc_reads_mapped,smart9n_average_depth_coverage,Identity,smart9n_cov10x_pct,Final_dataset,Accession_number
1,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.464613,-46.648398,09/10/2017,medium_or_advanced,Positive,NA,NA,367336,400,23288,5.8021,6.34,1175.25,95.1,99.908,,OQ714250.1
22,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.459,-46.6381,23/10/2017,intact_live_2d,Positive,NA,85.9011,142280,400,689,4.6851,0.48,27.83,95.1,72.355,No,NA
39,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4189989,-46.6655516,16/11/2017,NA,Positive,24.1,NA,153420,294,38,3.3939,0.03,1.2,92.9,0.092,No,NA
38,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4189989,-46.6655516,16/11/2017,intact_live_2d,Positive,7,83.0832,278911,270,15073,5.7327,5.4,819.65,94,99.908,Yes,OQ714252.1
40,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.3668848,-46.6136934,25/11/2017,NA,Positive,17.5,NA,136409,493,48114,6.5474,35.27,1522.87,94.8,99.908,Yes,OQ714294.1
41,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.3663779,-46.6125439,28/11/2017,NA,Positive,18.06,NA,165616,253,5098,5.4883,3.08,200.42,93.9,97.191,Yes,OQ714295.1
42,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.448098,-46.6199025,03/12/2017,NA,Positive,9.48,86.2602,347015,512,120679,6.5413,34.78,4756.52,95.6,99.889,Yes,OQ714251.1
44,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.448098,-46.6199025,05/12/2017,NA,Positive,11,86.5089,454728,509,82792,6.2602,18.21,3227.89,95.4,99.889,Yes,OQ714254.1
46,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4545195,-46.6235704,05/12/2017,NA,Positive,18.4,NA,392374,240,18459,5.6725,4.7,673.24,93.6,99.899,Yes,OQ714297.1
45,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.448098,-46.6199025,05/12/2017,NA,Positive,20.9,NA,480266,248,13427,5.4465,2.8,576.93,93.5,99.908,Yes,OQ714296.1
47,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4545195,-46.6235704,05/12/2017,NA,Positive,20.5,NA,441411,256,16200,5.5647,3.67,730.06,93.7,99.908,Yes,OQ714298.1
43,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4542863,-46.6360281,05/12/2017,NA,Positive,10,80.0995,302079,346,8108,5.4288,2.68,384.84,93.7,99.908,Yes,OQ714253.1
48,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4161991,-46.5845585,05/12/2017,NA,Positive,10,69.4355,251799,477,34505,6.1368,13.7,1473.47,95.4,99.908,Yes,OQ714255.1
49,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4520161,-46.6192767,07/12/2017,NA,Positive,NA,70.3288,484365,529,7601,5.1957,1.57,308.58,95.4,99.88,Yes,OQ714275.1
52,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.448098,-46.6199025,08/12/2017,NA,Positive,18.68,NA,166039,250,4917,5.4715,2.96,147.98,93.9,89.345,Yes,OQ714300.1
