tip,date,distance,residual,location
MZ557001.1_Brazil_Belem_1983,1983.5,0.028224562,3.84E-04,Brazil
MZ556993.1_Brazil_Belem_1982,1982.5,0.025555562,-0.001924578,Brazil
MZ557012.1_Brazil_Belem_1983,1983.5,0.025553562,-0.002287032,Brazil
MZ557011.1_Brazil_Belem_1983,1983.5,0.025552562,-0.002288032,Brazil
MZ557002.1_Brazil_Ananideua_1983,1983.5,0.025442562,-0.002398032,Brazil
ON524431.1_human_USA_NewYork_2019,2019.5,0.035547562,-0.005269361,Americas
PV702359.1_Alouatta_Brazil_SaoPaulo_2017,2017.5,0.040890438,7.94E-04,This_study
MG049743.1_human_Brazil_SaoPaulo_2017,2017.5,0.041027438,9.31E-04,Brazil
OK625565.1_human_Haiti_2016,2016.5,0.042555438,0.002819876,Americas
PP661699.1_human_Argentina_Cordoba_2017,2017.5,0.040089438,-6.58E-06,Americas
PP693073.1_human_Argentina_Cordoba_2018,2018.5,0.040089438,-3.67E-04,Americas
PP661694.1_human_Argentina_Cordoba_2018,2018.5,0.041475438,0.001018969,Americas
ON524439.1_human_USA_NewYork_2019,2019.5,0.039353438,-0.001463485,Americas
ON524427.1_human_USA_NewYork_2019,2019.5,0.040577438,-2.39E-04,Americas
PP661696.1_human_Argentina_Cordoba_2023,2023.5,0.040872438,-0.001386299,Americas
PP693075.1_human_Argentina_Cordoba_2023,2023.5,0.041040438,-0.001218299,Americas
PP693071.1_human_Argentina_Cordoba_2022,2022.5,0.040520438,-0.001377845,Americas
ON524417.1_human_USA_NewYork_2019,2019.5,0.041311438,4.95E-04,Americas
ON524416.1_human_USA_NewYork_2019,2019.5,0.041311438,4.95E-04,Americas
ON524419.1_human_USA_NewYork_2019,2019.5,0.041311438,4.95E-04,Americas
ON496632.1_human_USA_NewYork_2019,2019.5,0.040852438,3.55E-05,Americas
ON524421.1_human_USA_NewYork_2019,2019.5,0.040853438,3.65E-05,Americas
ON524428.1_human_USA_NewYork_2019,2019.5,0.040853438,3.65E-05,Americas
ON524424.1_human_USA_NewYork_2019,2019.5,0.040700438,-1.16E-04,Americas
ON524443.1_human_USA_NewYork_2019,2019.5,0.041763438,9.47E-04,Americas
ON524459.1_human_USA_NewYork_2019,2019.5,0.041763438,9.47E-04,Americas
ON524535.1_human_USA_NewYork_2021,2021.5,0.042838438,0.001300608,Americas
ON524534.1_human_USA_NewYork_2021,2021.5,0.042989438,0.001451608,Americas
ON661551.1_human_USA_NewYork_2021,2021.5,0.043449438,0.001911608,Americas
ON661553.1_human_USA_NewYork_2021,2021.5,0.043144438,0.001606608,Americas
ON661552.1_human_USA_NewYork_2021,2021.5,0.042683438,0.001145608,Americas
ON524458.1_human_USA_NewYork_2019,2019.5,0.041915438,0.001098515,Americas
ON524473.1_human_USA_NewYork_2020,2020.5,0.042230438,0.001053062,Americas
ON524422.1_human_USA_NewYork_2019,2019.5,0.041153438,3.37E-04,Americas
MN062166.1_human_USA_California_2018,2018.5,0.041153438,6.97E-04,Americas
PV902621.1_USA_California_2025,2025.5,0.041873438,-0.001106206,Americas
PV902622.1_human_USA_California_2025,2025.5,0.042182438,-7.97E-04,Americas
ON524420.1_human_USA_NewYork_2019,2019.5,0.042355438,0.001538515,Americas
ON661550.1_human_USA_NewYork_2019,2019.5,0.040156438,-6.60E-04,Americas
PV902619.1_human_USA_California_2024,2024.5,0.041722438,-8.97E-04,Americas
PV902616.1_human_USA_California_2024,2024.5,0.042325438,-2.94E-04,Americas
PV902614.1_human_USA_California_2024,2024.5,0.042175438,-4.44E-04,Americas
PV902618.1_human_USA_California_2024,2024.5,0.042024438,-5.95E-04,Americas
PV902612.1_human_USA_California_2024,2024.5,0.041873438,-7.46E-04,Americas
PV902613.1_human_USA_California_2024,2024.5,0.041721438,-8.98E-04,Americas
PV902610.1_human_USA_California_2024,2024.5,0.041870438,-7.49E-04,Americas
PV902609.1_human_USA_California_2024,2024.5,0.041871438,-7.48E-04,Americas
PV902607.1_human_USA_California_2024,2024.5,0.041871438,-7.48E-04,Americas
PV902625.1_human_USA_California_2025,2025.5,0.042475438,-5.04E-04,Americas
PV902617.1_human_USA_California_2024,2024.5,0.042175438,-4.44E-04,Americas
PV902626.1_human_USA_California_2025,2025.5,0.042478438,-5.01E-04,Americas
PV902620.1_human_USA_California_2024,2024.5,0.042176438,-4.43E-04,Americas
PV902624.1_human_USA_California_2025,2025.5,0.042324438,-6.55E-04,Americas
PV902611.1_human_USA_California_2024,2024.5,0.041569438,-0.001049753,Americas
PV902615.1_human_USA_California_2024,2024.5,0.041719438,-9.00E-04,Americas
ON524522.1_human_USA_NewYork_2020,2020.5,0.039940438,-0.001236938,Americas
ON524519.1_human_USA_NewYork_2020,2020.5,0.039966438,-0.001210938,Americas
KC182588.1_human_Mexico_2009,2009.5,0.038908438,0.001696051,Americas
ON524435.1_human_USA_NewYork_2019,2019.5,0.040313438,-5.03E-04,Americas
ON496631.1_human_USA_NewYork_2019,2019.5,0.041994438,0.001177515,Americas
ON524415.1_human_USA_NewYork_2019,2019.5,0.041684438,8.68E-04,Americas
MN062164.1_human_USA_California_2017,2017.5,0.040751438,6.55E-04,Americas
MN062165.1_human_USA_California_2018,2018.5,0.040195438,-2.61E-04,Americas
KC182587.1_human_Mexico_2009,2009.5,0.041143438,0.003931051,Americas
KC182590.1_human_Mexico_2009,2009.5,0.041143438,0.003931051,Americas
KC182589.1_human_Mexico_2009,2009.5,0.041449438,0.004237051,Americas
AY974170.1_human_Cuba_1991,1991.5,0.026692438,-0.004031784,Americas
HQ437707.1_human_Russia_2007,2007.5,0.029138438,-0.007353042,Other
K02990.1_human_USA_LosAngeles_1985,1985.5,0.024826438,-0.003735063,Americas
AB623053.1_human_Japan_1957,1957.5,0.018584562,1.16E-04,Other
